"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"Abundancia";"Clase";"FM"
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Phataria";"unifascialis";"Phataria unifascialis";NA;3;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Gorgoniidae";"spp";"Gorgoniidae spp";NA;5;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;35;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Tripneustes";"depressus";"Tripneustes depressus";NA;6;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;10;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Pteria";"sterna";"Pteria sterna";NA;1;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Chama";"spp";"Chama spp";NA;25;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;6;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Phataria";"unifascialis";"Phataria unifascialis";NA;6;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Gorgoniidae";"spp";"Gorgoniidae spp";NA;4;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;50;"invert";NA
